date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:49	109/109	---M-Z	200	added ('OK')	text/plain	etag:%22300-1652677512;gz%22	https://badkid.club/robots.txt		(from )
23:45:50	334163/334163	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2022:45:49%20GMT	https://badkid.club/	C:/My%20Web%20Sites/bad/badkid.club/index.html	(from )
23:45:51	11814/11814	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Apr%202022%2011:07:18%20GMT	https://badkid.club/wp-content/plugins/ba-plus-before-after-image-slider-free/css/ba-plus.min.css?ver=1.0.3	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/ba-plus-before-after-image-slider-free/css/ba-plus.min4bf4.css	(from https://badkid.club/)
23:45:52	1049/1049	---M-Z	200	added ('OK')	application/rss+xml	etag:%22d9f04f1494d80c979c27164ddf154851%22	https://badkid.club/feed/	C:/My%20Web%20Sites/bad/badkid.club/feed/index.html	(from https://badkid.club/)
23:45:52	41469/41469	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Feb%202022%2006:51:28%20GMT	https://badkid.club/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.7.7	C:/My%20Web%20Sites/bad/badkid.club/wp-content/themes/astra/assets/css/minified/main.minac9e.css	(from https://badkid.club/)
23:45:53	83419/83419	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Apr%202022%2003:25:53%20GMT	https://badkid.club/wp-includes/css/dist/block-library/style.min.css?ver=5.9.3	C:/My%20Web%20Sites/bad/badkid.club/wp-includes/css/dist/block-library/style.min7404.css	(from https://badkid.club/)
23:45:54	122417/122417	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Feb%202022%2015:47:33%20GMT	https://badkid.club/wp-includes/css/dist/components/style.min.css?ver=5.9.3	C:/My%20Web%20Sites/bad/badkid.club/wp-includes/css/dist/components/style.min7404.css	(from https://badkid.club/)
23:45:54	724/724	---M-Z	200	added ('OK')	application/rss+xml	etag:%2249918e4e7bbc5c788267110443760dce%22	https://badkid.club/comments/feed/	C:/My%20Web%20Sites/bad/badkid.club/comments/feed/index.html	(from https://badkid.club/)
23:45:54	111974/111974	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Feb%202022%2015:47:33%20GMT	https://badkid.club/wp-includes/css/dist/block-editor/style.min.css?ver=5.9.3	C:/My%20Web%20Sites/bad/badkid.club/wp-includes/css/dist/block-editor/style.min7404.css	(from https://badkid.club/)
23:45:55	2768/2768	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Feb%202022%2006:51:31%20GMT	https://badkid.club/wp-includes/css/dist/nux/style.min.css?ver=5.9.3	C:/My%20Web%20Sites/bad/badkid.club/wp-includes/css/dist/nux/style.min7404.css	(from https://badkid.club/)
23:45:56	522/522	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Feb%202022%2006:51:31%20GMT	https://badkid.club/wp-includes/css/dist/reusable-blocks/style.min.css?ver=5.9.3	C:/My%20Web%20Sites/bad/badkid.club/wp-includes/css/dist/reusable-blocks/style.min7404.css	(from https://badkid.club/)
23:45:57	20858/20858	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Feb%202022%2006:51:31%20GMT	https://badkid.club/wp-includes/css/dist/editor/style.min.css?ver=5.9.3	C:/My%20Web%20Sites/bad/badkid.club/wp-includes/css/dist/editor/style.min7404.css	(from https://badkid.club/)
23:45:57	139506/139506	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Apr%202022%2005:34:08%20GMT	https://badkid.club/wp-content/plugins/timeline-event-history/includes/gutenberg/dist/blocks.style.build.css	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/timeline-event-history/includes/gutenberg/dist/blocks.style.build.css	(from https://badkid.club/)
23:45:58	21943/21943	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Apr%202022%2005:33:57%20GMT	https://badkid.club/wp-content/plugins/cool-timeline/includes/cool-timeline-block/dist/blocks.style.build.css	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/cool-timeline/includes/cool-timeline-block/dist/blocks.style.build.css	(from https://badkid.club/)
23:45:58	13299/13299	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Apr%202022%2005:34:11%20GMT	https://badkid.club/wp-content/plugins/timeline-block/includes/gutenberg-block/build/blocks.style.build.css?ver=5.9.3	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/timeline-block/includes/gutenberg-block/build/blocks.style.build7404.css	(from https://badkid.club/)
23:45:59	21944/21944	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Apr%202022%2005:34:11%20GMT	https://badkid.club/wp-content/plugins/timeline-block/includes/cool-timeline-block/dist/blocks.style.build.css	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/timeline-block/includes/cool-timeline-block/dist/blocks.style.build.css	(from https://badkid.club/)
23:46:00	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Mon,%2016%20May%202022%2022:46:00%20GMT	https://badkid.club/wp-admin/admin-ajax.php?action=akp_dynamic_css&ver=5.9.3	C:/My%20Web%20Sites/bad/badkid.club/wp-admin/admin-ajaxd71c.php	(from https://badkid.club/)
23:46:00	3418/3418	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Apr%202022%2005:34:03%20GMT	https://badkid.club/wp-content/plugins/post-timeline/public/css/reset.css?ver=2.1.9	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/post-timeline/public/css/reset6c17.css	(from https://badkid.club/)
23:46:01	29379/29379	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Apr%202022%2005:34:03%20GMT	https://badkid.club/wp-content/plugins/post-timeline/public/css/post-timeline.css?ver=2.1.9	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/post-timeline/public/css/post-timeline6c17.css	(from https://badkid.club/)
23:46:01	75599/75599	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Apr%202022%2005:34:03%20GMT	https://badkid.club/wp-content/plugins/post-timeline/public/css/animate.css?ver=2.1.9	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/post-timeline/public/css/animate6c17.css	(from https://badkid.club/)
23:46:02	214820/214820	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Apr%202022%2005:34:03%20GMT	https://badkid.club/wp-content/plugins/post-timeline/public/css/bootstrap.min.css?ver=2.1.9	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/post-timeline/public/css/bootstrap.min6c17.css	(from https://badkid.club/)
23:46:03	19835/19835	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Apr%202022%2005:34:03%20GMT	https://badkid.club/wp-content/plugins/post-timeline/public/css/bootstrap-theme.min.css?ver=2.1.9	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/post-timeline/public/css/bootstrap-theme.min6c17.css	(from https://badkid.club/)
